A20015	Ahnung	die	-en			Ich hatte keine Ahnung, dass du heute Geburtstag hast.	idea	I had no idea it was your birthday today.	[sound:word_A20015.mp3]	[sound:sentence_A20015.mp3]
A20016	Ahnung	die	-en			Wie spät ist es? - Ich habe keine Ahnung.	idea	What time is it? - I have no idea.	[sound:word_A20016.mp3]	[sound:sentence_A20016.mp3]
A20017	aktiv					Peter ist sehr aktiv und macht viel Sport.	active	Peter is very active and does a lot of sport.	[sound:word_A20017.mp3]	[sound:sentence_A20017.mp3]
A20018	aktuell					Das ist das aktuelle Kinoprogramm.	current	This is the current cinema programme.	[sound:word_A20018.mp3]	[sound:sentence_A20018.mp3]
A20019	alle					Alle Freunde kommen.	all	All friends are coming.	[sound:word_A20019.mp3]	[sound:sentence_A20019.mp3]
A20020	alle					Sind alle da? - Nein, Rita fehlt noch.	all	Is everyone here? - No, Rita is still missing.	[sound:word_A20020.mp3]	[sound:sentence_A20020.mp3]
A20021	alles					Ich wünsche dir alles Gute!	everything	I wish you all the best!	[sound:word_A20021.mp3]	[sound:sentence_A20021.mp3]
A20022	alles					Hast du alles?	everything	Have you got everything?	[sound:word_A20022.mp3]	[sound:sentence_A20022.mp3]
A20023	alles					Möchten Sie noch etwas? - Nein, danke. Das ist alles.	everything	Would you like anything else? - No, thank you. That's all.	[sound:word_A20023.mp3]	[sound:sentence_A20023.mp3]
A20024	allein					Kommt seine Freundin mit? - Nein, er kommt allein.	alone	Is his girlfriend coming with him? - No, he's coming alone.	[sound:word_A20024.mp3]	[sound:sentence_A20024.mp3]
A20025	allein					Soll ich Ihnen helfen? - Nein danke, ich schaffe das schon allein.	alone	Would you like me to help you? - No thanks, I can manage on my own.	[sound:word_A20025.mp3]	[sound:sentence_A20025.mp3]
A20026	allein					Soll ich dir helfen? - Nein danke, ich schaffe das allein.	alone	Shall I help you? - No thanks, I can do it myself.	[sound:word_A20026.mp3]	[sound:sentence_A20026.mp3]
A20027	als					Hector ist jünger als seine Schwester.	as	Hector is younger than his sister.	[sound:word_A20027.mp3]	[sound:sentence_A20027.mp3]
A20028	als					Sie arbeitet als Krankenschwester.	as	She works as a nurse.	[sound:word_A20028.mp3]	[sound:sentence_A20028.mp3]
A20029	also					Also, die Sache ist so: …	so	So, here's the thing: ...	[sound:word_A20029.mp3]	[sound:sentence_A20029.mp3]
A20030	also					Er hat Zeit, also kann er uns helfen.	so	He has time, so he can help us.	[sound:word_A20030.mp3]	[sound:sentence_A20030.mp3]
A20031	alt					Wie alt sind Sie?	old	How old are you?	[sound:word_A20031.mp3]	[sound:sentence_A20031.mp3]
A20032	alt					Mein Computer ist schon sehr alt.	old	My computer is already very old.	[sound:word_A20032.mp3]	[sound:sentence_A20032.mp3]
A20033	alt					Wir wohnen in einem ganz alten Haus.	old	We live in a very old house.	[sound:word_A20033.mp3]	[sound:sentence_A20033.mp3]
A20034	alt					Köln ist eine alte Stadt.	old	Cologne is an old city.	[sound:word_A20034.mp3]	[sound:sentence_A20034.mp3]
A20035	Alter	das	(S.g.)			Alter: 18 Jahre.	age	Age: 18 years.	[sound:word_A20035.mp3]	[sound:sentence_A20035.mp3]
A20036	Ampel	die	-n			Du kannst fahren, die Ampel ist grün.	traffic light	You can drive, the traffic lights are green.	[sound:word_A20036.mp3]	[sound:sentence_A20036.mp3]
A20037	Ampel	die	-n			Nach der Ampel musst du nach links fahren.	traffic light	Turn left after the traffic lights.	[sound:word_A20037.mp3]	[sound:sentence_A20037.mp3]
A20038	an			am=an dem		Fahren Sie an der nächsten Kreuzung nach rechts.	at	Turn right at the next junction.	[sound:word_A20038.mp3]	[sound:sentence_A20038.mp3]
A20039	an			am=an dem		Wir treffen uns am Bahnhof.	at	We meet at the railway station.	[sound:word_A20039.mp3]	[sound:sentence_A20039.mp3]
A20040	an			am=an dem		Das Licht war die ganze Nacht an.	at	The light was on all night.	[sound:word_A20040.mp3]	[sound:sentence_A20040.mp3]
A20041	an			am=an dem		Am nächsten Montag geht es leider nicht.	at	Unfortunately, I can't make it next Monday.	[sound:word_A20041.mp3]	[sound:sentence_A20041.mp3]
A20042	anbieten				bietet an, hat angeboten	Er hat mir eine Stelle als Verkäuferin angeboten.	to offer	He offered me a job as a sales assistant.	[sound:word_A20042.mp3]	[sound:sentence_A20042.mp3]
A20043	anbieten				bietet an, hat angeboten	Darf ich Ihnen ein Stück Kuchen anbieten?	to offer	May I offer you a piece of cake?	[sound:word_A20043.mp3]	[sound:sentence_A20043.mp3]
A20044	anbieten				bietet an, hat angeboten	Darf ich dir ein Stück Kuchen anbieten?	to offer	May I offer you a piece of cake?	[sound:word_A20044.mp3]	[sound:sentence_A20044.mp3]
A20045	Angebot	das	-e			Heute sind Bananen im Angebot.	offer	Bananas are on offer today.	[sound:word_A20045.mp3]	[sound:sentence_A20045.mp3]
A20046	Angebot	das	-e			Stellenangebote finden Sie in der Zeitung oder im Internet.	offer	You can find job vacancies in the newspaper or on the Internet.	[sound:word_A20046.mp3]	[sound:sentence_A20046.mp3]
A20047	anderen			ander-		Willst du diesen Mantel? - Nein, ich möchte den anderen.	other	Do you want this coat? - No, I want the other one.	[sound:word_A20047.mp3]	[sound:sentence_A20047.mp3]
A20048	anderen			ander-		Die anderen sind schon nach Hause gegangen.	other	The others have already gone home.	[sound:word_A20048.mp3]	[sound:sentence_A20048.mp3]
A20049	anderen			ander-		Bitte nicht alle auf einmal! Einer nach dem anderen.	other	Not all at once, please! One at a time.	[sound:word_A20049.mp3]	[sound:sentence_A20049.mp3]
A20050	ändern				ändert, hat geändert	Wie kann ich mein Passwort ändern?	to change	How can I change my password?	[sound:word_A20050.mp3]	[sound:sentence_A20050.mp3]
A20051	ändern				ändert, hat geändert	Das Wetter hat sich geändert.	to change	The weather has changed.	[sound:word_A20051.mp3]	[sound:sentence_A20051.mp3]
A20052	anders					Anders geht das leider nicht.	different	Unfortunately, there is no other way.	[sound:word_A20052.mp3]	[sound:sentence_A20052.mp3]
A20053	anders					Oliver ist anders als seine Freunde.	different	Oliver is different from his friends.	[sound:word_A20053.mp3]	[sound:sentence_A20053.mp3]
A20054	anfangen				fängt an, hat angefangen	Hier fängt die Bahnhofstraße an.	to begin	This is where Bahnhofstrasse begins.	[sound:word_A20054.mp3]	[sound:sentence_A20054.mp3]
A20055	anfangen				fängt an, hat angefangen	Der Unterricht fängt gleich an.	to begin	Lessons are about to start.	[sound:word_A20055.mp3]	[sound:sentence_A20055.mp3]
A20056	anfangen				fängt an, hat angefangen	Würden Sie bitte anfangen?	to begin	Could you please start?	[sound:word_A20056.mp3]	[sound:sentence_A20056.mp3]
A20057	anfangen				fängt an, hat angefangen	Ich fange im Herbst meine Ausbildung an.	to begin	I start my apprenticeship in autumn.	[sound:word_A20057.mp3]	[sound:sentence_A20057.mp3]
A20058	Anfang	der	"""-e"			Sie wohnt am Anfang der Straße.	Beginning	She lives at the beginning of the street.	[sound:word_A20058.mp3]	[sound:sentence_A20058.mp3]
A20059	Anfang	der	"""-e"			Wir machen Anfang Juli Urlaub.	Beginning	We go on holiday at the beginning of July.	[sound:word_A20059.mp3]	[sound:sentence_A20059.mp3]
A20060	Angst	die	"""-e"			Hab keine Angst!	anxiety / fear	Don't be afraid!	[sound:word_A20060.mp3]	[sound:sentence_A20060.mp3]
A20061	Angst	die	"""-e"			Ich habe Angst vor großen Hunden.	anxiety / fear	I'm afraid of big dogs.	[sound:word_A20061.mp3]	[sound:sentence_A20061.mp3]
A20062	ankommen				kommt an, ist angekommen	Wann kommt dieser Zug in Hamburg an?	arrive	When does this train arrive in Hamburg?	[sound:word_A20062.mp3]	[sound:sentence_A20062.mp3]
A20063	Ankunft	die	"""-e"			Auf diesem Fahrplan steht nur die Ankunft der Züge.	Arrival	This timetable only shows the arrival of the trains.	[sound:word_A20063.mp3]	[sound:sentence_A20063.mp3]
A20064	anmachen				macht an, hat angemacht	Mach bitte das Licht an!	to turn on	Please switch on the light!	[sound:word_A20064.mp3]	[sound:sentence_A20064.mp3]
A20065	sich anmelden				meldet an, hat angemeldet	Wo kann ich mich anmelden?	to register / to enroll / to apply	Where can I register?	[sound:word_A20065.mp3]	[sound:sentence_A20065.mp3]
A20066	sich anmelden				meldet an, hat angemeldet	Eine Anmeldung für diesen Kurs ist nicht mehr möglich.	to register / to enroll / to apply	Registration for this course is no longer possible.	[sound:word_A20066.mp3]	[sound:sentence_A20066.mp3]
A20067	Anmeldung	die	-en			Wo bekomme ich das Formular für die Anmeldung?	registration	Where can I get the registration form?	[sound:word_A20067.mp3]	[sound:sentence_A20067.mp3]
A20068	Anrufbeantworter	der	-			Wir sind im Moment nicht da, sprechen Sie bitte auf den Anrufbeantworter.	Answering machine	We are not available at the moment, please leave a message on the answering machine.	[sound:word_A20068.mp3]	[sound:sentence_A20068.mp3]
A20069	anrufen				ruft an, hat angerufen	Kann ich Sie heute Abend anrufen?	call	Can I call you tonight?	[sound:word_A20069.mp3]	[sound:sentence_A20069.mp3]
A20070	anrufen				ruft an, hat angerufen	Juan ruft seine Freundin an.	call	Juan calls his girlfriend.	[sound:word_A20070.mp3]	[sound:sentence_A20070.mp3]
A20071	Anruf	der	-e			Eva bekommt viele Anrufe von ihrem Freund Juan.	Call	Eva receives a lot of calls from her boyfriend Juan.	[sound:word_A20071.mp3]	[sound:sentence_A20071.mp3]
A20072	Anschluss	der	"""-e"			In Mannheim haben Sie Anschluss nach Saarbrücken.	connection	In Mannheim you have a connection to Saarbrücken.	[sound:word_A20072.mp3]	[sound:sentence_A20072.mp3]
A20073	Anschluss	der	"""-e"			In Stuttgart erreichen Sie alle Anschlüsse, auch der Zug nach Paris wartet.	connection	In Stuttgart you can reach all connections, even the train to Paris is waiting.	[sound:word_A20073.mp3]	[sound:sentence_A20073.mp3]
A20074	Anschluss	der	"""-e"			Gibt es in der Wohnung einen Waschmaschinenanschluss?	connection	Is there a washing machine connection in the flat?	[sound:word_A20074.mp3]	[sound:sentence_A20074.mp3]
A20075	ansehen				sieht an, hat angesehen	Darf ich eure Urlaubsfotos ansehen?	look at	May I look at your holiday photos?	[sound:word_A20075.mp3]	[sound:sentence_A20075.mp3]
A20076	ansehen				sieht an, hat angesehen	Ich sehe (mir) diese Sendung jeden Tag an.	look at	I watch this programme every day.	[sound:word_A20076.mp3]	[sound:sentence_A20076.mp3]
A20077	antworten				antwortet, hat geantwortet	Er antwortet nicht.	reply	He does not answer.	[sound:word_A20077.mp3]	[sound:sentence_A20077.mp3]
A20078	Antwort	die	-en			Er gibt leider keine Antwort.	answer	Unfortunately, he doesn't give an answer.	[sound:word_A20078.mp3]	[sound:sentence_A20078.mp3]
A20079	Anzeige	die	-n			Ich habe Ihre Anzeige in der Zeitung gelesen.	display	I read your advert in the newspaper.	[sound:word_A20079.mp3]	[sound:sentence_A20079.mp3]
A20080	Anzug	der	"""-e"			Mein Mann muss sich einen neuen Anzug kaufen.	suit	My husband needs to buy a new suit.	[sound:word_A20080.mp3]	[sound:sentence_A20080.mp3]
A20081	Apfel	der	""""			Ein Kilo Äpfel, bitte.	Apple	One kilo of apples, please.	[sound:word_A20081.mp3]	[sound:sentence_A20081.mp3]
A20082	Apotheke	die	-n			Das Medikament bekommen Sie in der Apotheke.	pharmacy	You can obtain the medication from the pharmacy.	[sound:word_A20082.mp3]	[sound:sentence_A20082.mp3]
A20083	Apparat	der	-e			Was machen wir mit deinem alten Apparat?	device / machine	What are we going to do with your old machine?	[sound:word_A20083.mp3]	[sound:sentence_A20083.mp3]
A20084	Apparat	der	-e			Ich habe einen neuen Fotoapparat.	device / machine	I have a new camera.	[sound:word_A20084.mp3]	[sound:sentence_A20084.mp3]
A20085	arbeiten				arbeitet, hat gearbeitet	Wo arbeiten Sie?	work	Where do you work?	[sound:word_A20085.mp3]	[sound:sentence_A20085.mp3]
A20086	arbeiten				arbeitet, hat gearbeitet	Ich arbeite als Krankenschwester in einem Krankenhaus.	work	I work as a nurse in a hospital.	[sound:word_A20086.mp3]	[sound:sentence_A20086.mp3]
A20087	Arbeit	die	-en			Mein Bruder sucht Arbeit.	job	My brother is looking for work.	[sound:word_A20087.mp3]	[sound:sentence_A20087.mp3]
A20088	arbeitslos					Seit wann ist er schon arbeitslos?	unemployed	How long has he been unemployed?	[sound:word_A20088.mp3]	[sound:sentence_A20088.mp3]
A20089	arbeitslos					Es gibt bei uns viele Leute, die schon lange arbeitslos sind.	unemployed	There are many people here who have been unemployed for a long time.	[sound:word_A20089.mp3]	[sound:sentence_A20089.mp3]
A20090	sich ärgern				ärgert, hat geärgert	Warum ärgerst du dich? - Ich ärgere mich, weil das Wetter schlecht ist.	to be angry	Why are you annoyed? - I'm annoyed because the weather is bad.	[sound:word_A20090.mp3]	[sound:sentence_A20090.mp3]
A20091	arm					Sie haben nicht viel Geld, sie sind arm.	poor	They don't have much money, they are poor.	[sound:word_A20091.mp3]	[sound:sentence_A20091.mp3]
A20092	Arm	der	-e			Mein Arm tut weh.	arm	My arm hurts.	[sound:word_A20092.mp3]	[sound:sentence_A20092.mp3]
A20093	Artikel	der	-			Im Deutschen gibt es drei Artikel: der, die und das.	item	There are three articles in German: der, die and das.	[sound:word_A20093.mp3]	[sound:sentence_A20093.mp3]
A20094	Artikel	der	-			Ich habe in der Zeitung einen interessanten Artikel gelesen.	item	I read an interesting article in the newspaper.	[sound:word_A20094.mp3]	[sound:sentence_A20094.mp3]
A20095	auch					Ich bin auch Spanier.	too / also	I am also Spanish.	[sound:word_A20095.mp3]	[sound:sentence_A20095.mp3]
A20096	auch					Maria muss auch am Wochenende arbeiten.	too / also	Maria also has to work at the weekend.	[sound:word_A20096.mp3]	[sound:sentence_A20096.mp3]
A20097	auf			2 Sätze pro Beispielsatz		Das Wörterbuch liegt auf dem Tisch. Die Kinder spielen auf der Straße.	on	The dictionary is on the table. The children are playing in the street.	[sound:word_A20097.mp3]	[sound:sentence_A20097.mp3]
A20098	auf			2 Sätze pro Beispielsatz		Am Samstag gehen wir auf eine Party. Meine Eltern wohnen auf dem Land.	on	We're going to a party on Saturday. My parents live in the country.	[sound:word_A20098.mp3]	[sound:sentence_A20098.mp3]
A20099	auf			2 Sätze pro Beispielsatz		Auf dem Foto ist auch meine Schwester. Die Tür ist auf, kommen Sie rein!	on	My sister is also in the photo. The door is open, come in!	[sound:word_A20099.mp3]	[sound:sentence_A20099.mp3]
A20100	auf			2 Sätze pro Beispielsatz		Hat das Geschäft noch auf? Wie heißt das auf Deutsch? Auf Wiedersehen.	on	Is the shop still open? What's it called in German? Goodbye.	[sound:word_A20100.mp3]	[sound:sentence_A20100.mp3]
A20101	auf jeden Fall					Ich möchte auf jeden Fall den neuen James-Bond-Film sehen.	definitely	I definitely want to see the new James Bond film.	[sound:word_A20101.mp3]	[sound:sentence_A20101.mp3]
A20102	auf keinen Fall					Ich finde James-Bond-Filme langweilig, ich sehe ihn auf keinen Fall an!	no way	I find James Bond films boring, there's no way I'm watching it!	[sound:word_A20102.mp3]	[sound:sentence_A20102.mp3]
A20103	aufhören				hört auf, hat aufgehört	Wann hört ihr mit der Arbeit auf?	stop	When will you stop working?	[sound:word_A20103.mp3]	[sound:sentence_A20103.mp3]
A20104	aufhören				hört auf, hat aufgehört	Kannst du bitte damit aufhören? Ich muss jetzt arbeiten.	stop	Can you please stop that? I have to work now.	[sound:word_A20104.mp3]	[sound:sentence_A20104.mp3]
A20105	aufmachen				macht auf, hat aufgemacht	Kannst du bitte die Tür aufmachen?	open	Can you please open the door?	[sound:word_A20105.mp3]	[sound:sentence_A20105.mp3]
A20106	aufpassen				passt auf, hat aufgepasst	Pass auf, der Teller fällt gleich auf den Boden!	watch out	Watch out, the plate is about to fall on the floor!	[sound:word_A20106.mp3]	[sound:sentence_A20106.mp3]
A20107	aufpassen				passt auf, hat aufgepasst	Der Babysitter passt heute Abend auf die Kinder auf.	watch out	The babysitter is looking after the children tonight.	[sound:word_A20107.mp3]	[sound:sentence_A20107.mp3]
A20108	aufpassen				passt auf, hat aufgepasst	Er passt im Unterricht nicht auf.	watch out	He doesn't pay attention in class.	[sound:word_A20108.mp3]	[sound:sentence_A20108.mp3]
A20109	aufräumen				räumt auf, hat aufgeräumt	Die Kinder müssen ihr Zimmer aufräumen.	to clean up	The children have to tidy up their room.	[sound:word_A20109.mp3]	[sound:sentence_A20109.mp3]
A20110	aufregend					Die letzte Woche war sehr aufregend.	exciting	The last week was very exciting.	[sound:word_A20110.mp3]	[sound:sentence_A20110.mp3]
A20111	aufregend					Der Film ist nicht besonders aufregend.	exciting	The film is not particularly exciting.	[sound:word_A20111.mp3]	[sound:sentence_A20111.mp3]
A20112	aufstehen				steht auf, ist aufgestanden	Ich stehe jeden Morgen um sieben Uhr auf.	get up	I get up at seven o'clock every morning.	[sound:word_A20112.mp3]	[sound:sentence_A20112.mp3]
A20113	Aufzug	der	"""-e"			In diesem Haus gibt es keinen Aufzug.	elevator	There is no lift in this house.	[sound:word_A20113.mp3]	[sound:sentence_A20113.mp3]
A20114	Aufzug	der	"""-e"			Der Aufzug ist leider kaputt.	elevator	The lift is unfortunately broken.	[sound:word_A20114.mp3]	[sound:sentence_A20114.mp3]
A20115	Auge	das	-n			Er hat blaue Augen.	eye	He has blue eyes.	[sound:word_A20115.mp3]	[sound:sentence_A20115.mp3]
A20116	Auge	das	-n			Mein rechtes Auge tut seit Sonntag weh.	eye	My right eye has been hurting since Sunday.	[sound:word_A20116.mp3]	[sound:sentence_A20116.mp3]
A20117	aus					Der Tisch ist aus Glas.	out	The table is made of glass.	[sound:word_A20117.mp3]	[sound:sentence_A20117.mp3]
A20118	aus					Frau Müller geht immer um acht Uhr aus dem Haus.	out	Mrs Müller always leaves the house at eight o'clock.	[sound:word_A20118.mp3]	[sound:sentence_A20118.mp3]
A20119	aus					Michele kommt aus Brasilien.	out	Michele comes from Brazil.	[sound:word_A20119.mp3]	[sound:sentence_A20119.mp3]
A20120	aus					Ich sehe nichts, das Licht ist aus.	out	I can't see anything, the light is off.	[sound:word_A20120.mp3]	[sound:sentence_A20120.mp3]
A20121	Ausbildung	die	-en			Ich möchte eine Ausbildung zum Krankenpfleger machen.	education	I would like to train as a nurse.	[sound:word_A20121.mp3]	[sound:sentence_A20121.mp3]
A20122	Ausflug	der	"""-e"			Morgen machen wir einen Ausflug nach Heidelberg.	Excursion	Tomorrow we're going on a trip to Heidelberg.	[sound:word_A20122.mp3]	[sound:sentence_A20122.mp3]
A20123	Ausflug	der	"""-e"			Am Wochenende machen wir einen Ausflug an die Ostsee.	Excursion	We're going on a trip to the Baltic Sea at the weekend.	[sound:word_A20123.mp3]	[sound:sentence_A20123.mp3]
A20124	ausfüllen				füllt aus, hat ausgefüllt	Füllen Sie bitte dieses Formular aus!	to fill (in)	Please fill in this form!	[sound:word_A20124.mp3]	[sound:sentence_A20124.mp3]
A20125	ausfüllen				füllt aus, hat ausgefüllt	Füll bitte dieses Formular aus!	to fill (in)	Please fill in this form!	[sound:word_A20125.mp3]	[sound:sentence_A20125.mp3]
A20126	Ausgang	der	"""-e"			Entschuldigung, wo ist der Ausgang?	exit	Excuse me, where is the exit?	[sound:word_A20126.mp3]	[sound:sentence_A20126.mp3]
A20127	ausgeben				gibt aus, hat ausgegeben	Agata gibt viel Geld für Bücher aus.	to spend (sth.)	Agata spends a lot of money on books.	[sound:word_A20127.mp3]	[sound:sentence_A20127.mp3]
A20128	ausgeben				gibt aus, hat ausgegeben	Ich möchte nicht so viel Geld ausgeben.	to spend (sth.)	I don't want to spend so much money.	[sound:word_A20128.mp3]	[sound:sentence_A20128.mp3]
A20129	ausgehen				geht aus, ist ausgegangen	Gehen wir am Freitag zusammen aus?	go out	Are we going out together on Friday?	[sound:word_A20129.mp3]	[sound:sentence_A20129.mp3]
A20130	ausgehen				geht aus, ist ausgegangen	Plötzlich ist das Licht ausgegangen.	go out	Suddenly the light has gone out.	[sound:word_A20130.mp3]	[sound:sentence_A20130.mp3]
A20131	Auskunft	die	"""-e"			Wo ist die Auskunft?	information desk	Where is the information?	[sound:word_A20131.mp3]	[sound:sentence_A20131.mp3]
A20132	Auskunft	die	"""-e"			Können Sie mir bitte eine Auskunft geben?	information desk	Can you please give me some information?	[sound:word_A20132.mp3]	[sound:sentence_A20132.mp3]
A20133	Ausland	das	(Sg.)			Fahren Sie ins Ausland?	foreign country	Are you travelling abroad?	[sound:word_A20133.mp3]	[sound:sentence_A20133.mp3]
A20134	ausmachen				macht aus, hat ausgemacht	Mach bitte das Licht aus!	to turn (sth.) off	Please switch off the light!	[sound:word_A20134.mp3]	[sound:sentence_A20134.mp3]
A20135	auspacken				packt aus, hat ausgepackt	Packst du bitte den Koffer aus?	unpacking	Could you please unpack the suitcase?	[sound:word_A20135.mp3]	[sound:sentence_A20135.mp3]
A20136	sich ausruhen				ruht aus, hat ausgeruht	Ruh dich erst mal aus, du bist sicher müde.	to rest	Get some rest first, you must be tired.	[sound:word_A20136.mp3]	[sound:sentence_A20136.mp3]
A20137	sich ausruhen				ruht aus, hat ausgeruht	Er ruht sich nach der Arbeit immer aus.	to rest	He always rests after work.	[sound:word_A20137.mp3]	[sound:sentence_A20137.mp3]
A20138	aussehen				sieht aus, hat ausgesehen	Wie sieht er aus? - Groß und blond.	to appear / to look like (sth.)	What does he look like? - Tall and blond.	[sound:word_A20138.mp3]	[sound:sentence_A20138.mp3]
A20139	aussehen				sieht aus, hat ausgesehen	Sie sieht wie ihre Mutter aus.	to appear / to look like (sth.)	She looks like her mum.	[sound:word_A20139.mp3]	[sound:sentence_A20139.mp3]
A20140	aussehen				sieht aus, hat ausgesehen	Das Kleid sieht hübsch aus.	to appear / to look like (sth.)	The dress looks pretty.	[sound:word_A20140.mp3]	[sound:sentence_A20140.mp3]
A20141	außer					Außer Lisa möchte niemand den Film sehen.	except	Apart from Lisa, nobody wants to see the film.	[sound:word_A20141.mp3]	[sound:sentence_A20141.mp3]
A20142	außer					Wir haben täglich außer Samstag geöffnet.	except	We are open every day except Saturday.	[sound:word_A20142.mp3]	[sound:sentence_A20142.mp3]
A20143	außerdem					Vier Brötchen, möchten Sie außerdem noch etwas?	beside	Four rolls, would you like anything else?	[sound:word_A20143.mp3]	[sound:sentence_A20143.mp3]
A20144	außerhalb					Die Wohnung ist nicht in der Stadt, sie liegt etwas außerhalb.	outside	The flat is not in the city, it's just outside.	[sound:word_A20144.mp3]	[sound:sentence_A20144.mp3]
A20145	aussprechen				spricht aus, hat ausgesprochen	Wie spricht man das Wort aus?	pronounce	How do you pronounce the word?	[sound:word_A20145.mp3]	[sound:sentence_A20145.mp3]
A20146	aussteigen				steigt aus, ist ausgestiegen	Wo müssen wir aussteigen? - An der nächsten Haltestelle.	get out / get off	Where do we have to get off? - At the next stop.	[sound:word_A20146.mp3]	[sound:sentence_A20146.mp3]
A20147	Ausstellung	die	-en			Gehen wir morgen zusammen in die Ausstellung?	exhibition	Are we going to the exhibition together tomorrow?	[sound:word_A20147.mp3]	[sound:sentence_A20147.mp3]
A20148	austragen				trägt aus, hat ausgetragen	Er trägt jeden Morgen die Zeitung aus.	to deliver (sth.) / to carry (sth.) out	He delivers the newspaper every morning.	[sound:word_A20148.mp3]	[sound:sentence_A20148.mp3]
A20149	Ausweis	der	-e			Darf ich bitte mal Ihren Ausweis sehen? - Hier ist mein Ausweis.	ID card	May I see your ID, please? - Here is my ID.	[sound:word_A20149.mp3]	[sound:sentence_A20149.mp3]
A20150	Auto	das	-s			Er fährt mit dem Auto.	automobile	He travels by car.	[sound:word_A20150.mp3]	[sound:sentence_A20150.mp3]
A20151	Autobahn	die	-en			Das Dorf liegt direkt an der Autobahn.	Highway	The village is located directly on the motorway.	[sound:word_A20151.mp3]	[sound:sentence_A20151.mp3]
A20152	Autobahn	die	-en			Darf ich mit dem Motorroller auf der Autobahn fahren?	Highway	Am I allowed to drive my scooter on the motorway?	[sound:word_A20152.mp3]	[sound:sentence_A20152.mp3]
A20153	Automat	der	-en			Fahrkarten gibt es nur am Automaten.	machine / automat / vending machine	Tickets are only available from ticket machines.	[sound:word_A20153.mp3]	[sound:sentence_A20153.mp3]
A20154	Automat	der	-en			In Berlin ist der Fahrkartenautomat auf dem Bahnsteig.	machine / automat / vending machine	In Berlin, the ticket machine is on the platform.	[sound:word_A20154.mp3]	[sound:sentence_A20154.mp3]
A20155	automatisch					Achtung, die Türen schließen automatisch!	automatically	Attention, the doors close automatically!	[sound:word_A20155.mp3]	[sound:sentence_A20155.mp3]
A20156	Baby	das	-s			Wir haben ein Baby. Es ist sechs Wochen alt.	baby	We have a baby. It's six weeks old.	[sound:word_A20156.mp3]	[sound:sentence_A20156.mp3]
A20157	Babysitter	der	-			Meine Tochter arbeitet als Babysitter bei einer Familie mit vier Kindern.	baby-sitter	My daughter works as a babysitter for a family with four children.	[sound:word_A20157.mp3]	[sound:sentence_A20157.mp3]
A20158	backen				bäckt, backt, hat gebacken	Wenn du kommst, backe ich einen Kuchen.	to bake	If you come, I'll bake a cake.	[sound:word_A20158.mp3]	[sound:sentence_A20158.mp3]
A20159	Bäckerei	die	-en			Ich geh mal schnell zur Bäckerei.	bakery	I'm off to the bakery.	[sound:word_A20159.mp3]	[sound:sentence_A20159.mp3]
